word,english,frequency
era,era,35656
sex,six,35622
vårt,ours,35525
kunna,be able to,35359
ses,seen,35181
del,part,35128
nästa,next,34986
fem,five,34790
livet,life,34755
nya,new,34738
människor,people,34089
bilen,the car,33981
dö,die,33561
riktigt,really,33524
klarar,able to,33476
höra,hear,33313
tills,until,33192
liten,small,33146
betyder,means,32990
tänk,think,32930
tag,grab,32927
lyssna,listen,32860
polisen,the police,32564
ändå,still,32506
sagt,said,32485
hemma,home,32389
sant,true,32382
världen,the world,32222
fast,fixed,32110
faktiskt,actually,32077
ligger,lies,32051
skit,crap,31787
idag,today,31579
minuter,minutes,31375
familj,family,31345
runt,around,31323
blivit,become,31294
klart,clear,30846
fall,CASE,30767
väntar,waiting,30718
dog,died,30570
fyra,four,30506
dra,drag,30393
dollar,dollar,30245
åker,goes,30210
kul,fun,30204
tala,speak,30109
illa,badly,29862
män,men,29747
försökte,tried,29741
dödade,killed,29696
helst,preferably,29696
annars,otherwise,29687
haft,had,29678
sånt,that sort of thing,29674
nästan,almost,29665
ensam,alone,29582
inne,inside,29164
lika,equal,28862
lägg,put,28840
hittar,finds,28724
redo,ready,28699
hämta,fetch,28582
jobbar,works,28550
dr,Dr,28502
gången,the time,28431
båda,both,28382
ny,new,28338
denna,this one,28203
stora,large,28103
plats,place,27948
tur,tour,27939
börja,start,27799
svårt,difficult,27768
lugnt,calmly,27698
långt,far,27653
spelar,plays,27562
kvinna,woman,27456
känns,feels,27410
älskling,honey,27391
hänt,happened,27251
bil,car,27178
emot,against,27170
låta,let,26928
tillsammans,Together,26908
öppna,Open,26879
släpp,release,26833
hört,heard,26827
huset,the house,26650
senare,later,26383
bror,Brother,26354
ringer,calling,26327
lilla,small,26317
be,ask,26171
rör,pipe,26144
ibland,sometimes,26069
rädda,save,26035
heller,either,26025
fort,fast,26008
glad,Happy,26005
gått,gone,25951
mellan,between,25919
nära,near,25870
ifrån,from,25763
hus,House,25599
vore,were,25494
igenom,through,25445
fler,more,25411
s,pp,25262
kände,felt,25196
vilka,which,25180
dotter,daughter,24994
bryr,care,24927
dagar,days,24807
kille,Guy,24591
tänka,think,24513
bor,lives,24461
fattar,understand,24363
gärna,gladly,24340
fanns,existed,24334
ber,begging,24326
började,began,24232
killen,the guy,24124
sitter,sitting,24105
slå,beat,24097
ännu,yet,23970
tio,ten,23932
trevligt,nice,23891
vilja,will,23827
gott,good,23766
spela,play,23727
bäst,best,23722
chans,chance,23688
gånger,times,23640
varandra,each other,23640
timmar,hours,23611
lever,liver,23601
pengarna,the money,23543
äta,eat,23523
handlar,trades,23433
natt,night,23400
rum,room,23394
klara,clear,23319
mor,mother,23302
gamla,old,23233
ord,words,23209
ihåg,remember,23146
reda,ready,23085
ringa,call,23070
mannen,the man,23048
ert,your,22821
dags,time of day,22725
bakom,behind,22721
eftersom,since,22714
gammal,old,22562
jobbet,the job,22546
dörren,the door,22542
fara,danger,22506
känna,feel,22193
dessa,these,22174
all,all,22147
dör,dies,22144
sån,like that,22045
par,couple,22035
bad,bath,22028
hjälper,helps,21938
alls,at all,21920
tyst,quiet,21809
egen,own,21651
kommit,arrived,21605
ringde,called,21498
dagen,the day,21311
klar,clear,20933
galen,crazy,20931
stan,town,20921
leva,live,20910
syster,Sister,20904
oroa,worry,20772
mat,food,20731
vapen,arms,20698
john,John,20680
ring,ring,20673
skull,sake,20564
idé,idea,20501
stället,the place,20475
antar,assume,20463
tagit,taken,20360
vadå,what,20321
sätta,put,20278
stå,stand,20254
mrs,Mrs,20180
jaså,So,20170
berättade,told,20162
ganska,quite,20110
följer,follows,20046
klockan,the clock,20042
tidigare,previous,20014
hittat,found,19965
följa,follow,19930
räcker,is enough,19927
fint,fine,19885
lätt,easy,19827
försöka,try,19785
jack,jack,19714
lång,long,19511
lovar,promises,19357
förut,before,19259
jobba,work,19140
självklart,of course,19028
skolan,the school,18965
iväg,away,18962
letar,looking,18899
ikväll,tonight,18857
flera,several,18824
försök,attempt,18796
mest,most,18753
nytt,new,18657
direkt,directly,18529
kvinnor,women,18520
månader,months,18507
utanför,outside,18503
stannar,stops,18456
sanningen,the truth,18386
stämmer,is correct,18379
lämnade,left,18334
stort,large,18190
lär,learn,18177
dödar,kills,18094
stoppa,stop,18078
pratade,talked,18058
talar,speaking,18052
ben,bone,18038
new,new,18026
undan,away,18012
plan,plan,18004
killar,guys,17998
roligt,funny,17830
flytta,move,17642
blod,Blood,17593
perfekt,perfect,17570
lära,teach,17565
vatten,water,17562
val,choice,17397
skicka,send,17393
hatar,hate,17389
kallar,calls,17353
föräldrar,parents,17318
flicka,girl,17264
vidare,further,17262
före,before,17143
lita,rely,17140
köra,drive,17088
skynda,hurry,17085
alltså,thus,16964
uppe,up,16956
gäller,applies,16948
använda,use,16900
ont,evil,16846
huvudet,the head,16839
ursäkt,excuse,16813
glöm,forget,16796
medan,while,16737
betala,pay,16732
önskar,wish,16715
fin,nice,16715
herr,Mr.,16684
sent,late,16588
miss,Miss,16578
nere,down,16530
igår,yesterday,16523
kapten,captain,16429
kärlek,Love,16397
roll,role,16397
behövde,needed,16392
imorgon,tomorrow,16342
kalla,call,16316
arg,angry,16306
lugn,quiet,16245
natten,the night,16233
lämnar,leaves,16195
viktigt,important,16191
sidan,page,16140
tjej,girl,16120
the,the,16117
fortsätt,continue,16085
vacker,beautiful,16075
hända,happen,16038
köpa,buy,15963
kompis,buddy,15955
inom,within,15927
idiot,idiot,15921
satt,sat,15819
full,full,15806
jaha,yes,15776
sätter,sets,15754
vissa,some,15637
drar,pulls,15588
tyvärr,unfortunately,15582
nummer,number,15576
tja,well,15546
lägga,lay,15466
skriva,write,15461
sova,sleep,15416
förstå,Understand,15386
snäll,kind,15383
veckor,weeks,15336
älskade,beloved,15330
visar,shows,15279
saken,the thing,15258
snabbt,Quickly,15176
tyckte,thought,15171
ställe,place,15111
gifta,married,15080
mindre,less,15003
enligt,according to,14960
undrar,wondering,14937
tänkt,thought,14912
sida,page,14890
tittar,watching,14852
resten,the rest,14840
konstigt,strange,14822
äter,eats,14804
vecka,week,14760
ok,okay,14760
typ,type,14741
hjärta,heart,14735
frågor,questions,14716
misstag,mistake,14714
grund,basic,14693
skydda,protect,14679
låg,low,14650
följ,follow,14647
absolut,absolutely,14640
förklara,explain,14638
lät,sounded,14463
svara,respond,14442
familjen,the family,14440
nå,reach,14393
nånsin,sometime,14355
själva,themselves,14328
berättar,tells,14312
ögon,eyes,14247
möjligt,possible,14238
välkommen,Welcome,14233
varsågod,go ahead,14193
slår,strikes,14178
sköt,shot,14157
goda,good,14124
lugna,calm,14098
kort,short,14044
person,person,14002
hårt,hard,13965
sitta,sit,13945
pojke,Boy,13931
höll,held,13879
otroligt,incredible,13832
allihop,all of them,13815
fortsätta,continue,13765
tom,Empty,13695
skyldig,obliged,13693
använder,uses,13691
träffas,meet,13689
sju,seven,13683
toppen,the top,13677
barnen,the children,13669
träffade,met,13632
exakt,exactly,13591
tillräckligt,enough,13589
värre,worse,13565
egentligen,really,13560
lycka,happiness,13538
historia,history,13532
skrev,wrote,13526
stod,stood,13503
fungerar,works,13478
fixa,fix,13465
åkte,went,13414
jobbat,worked,13399
saknar,missing,13331
större,major,13299
någonsin,ever,13286
såna,such,13256
massa,pulp,13254
bör,should,13220
slog,struck,13191
hoppa,jump,13184
senaste,latest,13180
små,small,13176
kropp,body,13176
brukar,usually,13143
förrän,before,13132
bo,stay,13127
trött,tired,13050
grabben,the guy,13036
miljoner,million,13033
sjuk,sick,13024
hämtar,picks up,13004
förra,last,13000
kära,dear,12953
käften,the jaw,12938
stick,Stick,12904
hälsa,health,12883
hemskt,terrible,12859
sägs,is said,12846
aning,idea,12831
gift,married,12825
frågar,asks,12804
dum,stupid,12800
skada,damage,12800
dåligt,badly,12784
frågade,asked,12775
inför,before,12751
bevis,evidence,12741
lägger,puts,12733
kaffe,coffee,12717
middag,dinner,12706
oj,Oh,12686
dess,its,12661
synd,sin,12643
behöva,need,12626
skjuta,shoot,12613
förbi,past,12611
charlie,Charlie,12538
åtta,eight,12523
york,york,12463
order,order,12460
leta,search,12459
slutar,ends,12445
någonting,anything,12433
igång,started,12416
strax,just,12398
framför,in front,12394
skall,bark,12393
polis,police,12377
annorlunda,differently,12329
ögonblick,moment,12315
läget,the mode,12296
ofta,Often,12291
sam,together,12268
dricka,drink,12249
tjänst,service,12233
chefen,the boss,12151
jorden,the earth,12123
början,beginning,12101
la,la,12097
enkelt,easy,12060
ung,young,12051
olika,various,12051
stund,while,12037
läsa,read,11989
arbete,work,11970
resa,trip,11969
david,David,11930
land,country,11893
skickade,sent,11891
eget,own,11858
brukade,used to,11850
riktig,TRUE,11815
betalar,pays,11758
agent,agent,11746
orolig,worried,11720
mord,murder,11718
söker,looking for,11673
frank,Frank,11665
råd,advice,11630
dålig,Poor,11608
sticker,sticks,11591
må,may,11583
funkar,works,11577
tvungen,forced,11477
skriver,writes,11428
krig,war,11425
joe,joe,11424
egna,own,11420
huvud,head,11410
händerna,the hands,11395
överallt,everywhere,11361
smart,smart,11349
herrar,gentlemen,11335
usa,USA,11332
spring,running,11329
george,george,11294
timme,hour,11234
fortsätter,continues,11202
samtal,Call,11200
ansikte,face,11191
beklagar,sorry,11173
jävel,son of a bitch,11152
ställa,set,11130
allvar,seriousness,11106
kvällen,the evening,11098
svar,response,11075
telefon,phone,11046
slåss,fight,11042
rummet,the room,11040
menade,meant,11000
särskilt,particularly,10917
doktorn,the doctor,10905
läkare,Doctor,10901
finnas,be,10877
landet,the country,10854
a,a,10847
ljuger,lying,10822
ögonen,the eyes,10819
barnet,the child,10798
fixar,fixes,10796
största,largest,10790
förr,before,10776
nånting,something,10764
tv,TV,10732
mike,Mike,10708
vinna,win,10699
glömde,forgot,10692
människa,person,10692
körde,drove,10672
staden,the city,10655
herre,Lord,10639
satte,put,10623
veckan,the week,10598
lyssnar,listening,10591
sover,sleeping,10584
fantastiskt,fantastic,10568
chef,manager,10559
trots,despite,10547
kvinnan,the woman,10541
omkring,about,10519
åtminstone,at least,10451
fängelse,prison,10422
flickan,the girl,10414
förlorade,lost,10368
michael,michael,10346
räddade,saved,10329
köpte,bought,10327
trevlig,nice,10323
värld,world,10314
berättat,told,10311
information,information,10304
passar,fits,10299
äntligen,finally,10297
stark,strong,10283
fri,free,10269
problemet,the problem,10204
hund,dog,10203
nånstans,somewhere,10194
andas,breathe,10192
skaffa,get,10178
förlora,lose,10160
behövs,is needed,10132
älska,love,10123
skickar,sends,10084
rätta,correct,10045
allvarligt,seriously,10009
röra,move,10000
uppfattat,Roger,9995
kallas,is called,9994
kroppen,the body,9977
kriget,the war,9961
max,max,9961
peter,peter,9948
träffat,met,9940
kläder,clothes,9933
släppa,drop,9927
fart,speed,9895
advokat,Lawyer,9891
istället,instead,9869
rakt,straight,9855
frågan,the question,9836
allting,everything,9831
ned,down,9818
hel,whole,9798
skjuter,shoots,9760
skiten,the shit,9738
gett,given,9737
sjukhuset,the hospital,9735
skjut,shoot,9734
fred,peace,9728
vita,White,9725
lnte,lnte,9719
fbi,fbi,9718
litar,trust,9711
sälja,sell,9698
dan,the day,9695
gillade,liked,9692
svart,black,9662
bär,berries,9658
sättet,the way,9655
lycklig,Happy,9650
intressant,interesting,9647
förutom,except,9625
pratat,talked,9601
tjejer,girls,9590
naturligtvis,Of course,9582
kollar,checking,9560
nyheter,news,9555
personer,people,9551
tjejen,the girl,9513
jösses,Crikey,9507
sekunder,seconds,9472
levande,live,9463
arbetar,working,9448
guds,God's,9447
vinner,wins,9430
pågår,ongoing,9408
försiktig,careful,9397
planet,planet,9342
vattnet,the water,9338
stolt,proud,9321
fallet,the case,9318
tacka,thank,9304
mördare,killer,9300
döden,death,9297
meddelande,message,9296
javisst,sure,9289
beslut,decision,9287
förtjänar,deserve,9281
james,James,9277
öl,beer,9266
kontor,office,9240
flesta,most,9211
raring,dear,9207
anledning,reason,9203
mark,ground,9202
bland,among,9188
vänster,left,9172
litet,small,9167
pojken,the boy,9152
tidigt,early,9149
skojar,kidding,9146
vakna,wake,9138
film,Film,9113
plötsligt,suddenly,9077
jättebra,great,9076
snygg,handsome,9061
knappt,hardly,9040
slutet,the end,9008
hår,hair,9008
försvann,disappeared,8998
fest,party,8992
möte,meeting,8966
riktiga,real ones,8954
eld,Fire,8933
skål,bowl,8933
l,l,8932
försökt,tried,8925
lärde,scholar,8910
nio,nine,8900
affärer,business,8897
hjälpte,helped,8887
ers,yours,8874
snackar,chatting,8868
underbart,wonderfully,8867
känt,known,8858
tredje,third,8854
damer,ladies,8845
bok,Book,8842
dödat,killed,8835
djur,animal,8826
farbror,uncle,8802
både,both,8799
visade,showed,8771
oh,oh,8757
skönt,nice,8695
ordna,arrange,8689
duktig,good,8654
president,President,8640
morse,Morse,8635
delar,parts,8635
grattis,Congratulations,8630
jobbade,worked,8619
tydligen,apparently,8599
kontakt,contact,8578
farligt,dangerous,8570
alldeles,Right,8568
omöjligt,impossible,8563
träffar,hits,8561
e,e,8559
höger,Right,8541
världens,of the world,8502
spel,game,8479
mål,CASE,8479
låtsas,pretend,8472
glömma,forget,8472
välja,choose,8433
känslor,emotions,8408
kallade,called,8402
förlorat,lost,8395
fader,Father,8390
pa,pa,8382
ändra,change,8370
leder,leads,8362
kung,King,8360
lovade,promised,8355
sov,sleeping,8343
året,the year,8342
sticka,knit,8329
svarta,black,8323
paul,Paul,8316
fantastisk,fantastic,8315
högt,high,8314
henry,Henry,8288
hjärtat,the heart,8278
stopp,Stop,8229
glömt,forgotten,8228
flickvän,girlfriend,8225
fullt,fully,8217
stal,stole,8209
ända,end,8183
alex,alex,8160
jesus,jesus,8156
grej,thing,8146
meter,meter,8144
dröm,dream,8143
ligga,lie,8143
sönder,broken,8128
hungrig,hungry,8124
o,O,8119
använde,used,8091
ljög,lied,8087
steg,step,8086
förstöra,Destroy,8074
tillhör,belongs to,8072
slags,sort of,8068
fly,escape,8059
vare,item,8052
hellre,rather,8035
uppdrag,mission,8011
speciellt,especially,7997
vackert,beautifully,7996
värsta,worst,7993
fina,fine,7988
spelade,played,7985
dansa,dance,7983
vila,rest,7976
klarade,passed,7973
söt,sweet,7948
filmen,the movie,7936
värt,worth,7934
skämt,joke,7927
jävlar,bastards,7923
namnet,the name,7922
skogen,the forest,7888
kär,in love,7880
frun,madam,7872
lösa,solve,7857
gatan,the street,7857
bild,photo,7848
musik,music,7847
sist,last,7844
slutade,stopped,7836
upptagen,busy,7795
talat,spoken,7792
snacka,talk,7790
säkerhet,security,7787
dricker,drinks,7781
äkta,genuine,7774
därifrån,from there,7758
hette,was called,7754
jim,Jim,7743
harry,harry,7741
förlorar,loses,7741
stad,City,7722
drog,drug,7710
general,General,7706
lunch,lunch,7698
ungefär,approximately,7695
lärt,learned,7686
stäng,close,7654
hög,high,7654
handen,the hand,7640
kasta,throw,7638
adjö,goodbye,7617
varenda,every,7614
brott,crime,7603
bar,bar,7595
byta,change,7581
området,the area,7565
valde,chose,7556
glas,glass,7545
unga,young,7535
ställer,poses,7518
börjat,begun,7515
vann,won,7512
intresserad,interested,7510
nick,nod,7502
jimmy,jimmy,7501
väntade,waited,7500
köper,buys,7488
pojkar,boys,7486
dumt,stupid,7460
åk,go,7458
sarah,Sarah,7429
ordnar,arranges,7428
fröken,Miss,7424
framtiden,the future,7395
ray,ray,7391
make,husband,7378
säljer,selling,7367
försvinn,disappear,7364
pojkvän,boyfriend,7360
snyggt,nicely,7355
minut,minute,7309
flickor,girls,7291
vackra,beautiful,7284
dåliga,bad ones,7282
spår,track,7281
stör,disturb,7264
tittade,watched,7259
hänger,hanging,7256
ingenstans,nowhere,7255
dela,share,7250
närheten,the vicinity,7250
bevisa,prove,7246
ljus,light,7228
hinner,in time,7218
nyss,just,7218
paris,Paris,7213
luktar,smells,7201
släpper,lets go,7200
närmare,closer,7195
svär,swear,7193
chansen,the chance,7190
förstått,understood,7189
velat,wanted,7189
vanligt,usual,7185
drink,drink,7180
tony,Tony,7167
sängen,the bed,7163
bob,bob,7152
brev,letter,7147
detsamma,the same,7145
överens,agree,7144
gissa,guess,7144
å,Oh,7136
någonstans,somewhere,7128
talas,spoken,7122
väntat,expected,7105
boken,the book,7101
bill,bill,7087
arbeta,work,7078
dumma,stupid,7075
pistol,gun,7069
ansiktet,the face,7048
ringt,rung,7042
röst,voice,7037
akta,beware,7017
säkra,secure,6978
månad,month,6974
ombord,on board,6965
läst,read,6958
själ,Soul,6952
äger,owns,6950
tommy,Tommy,6946
välkomna,welcome,6940
marken,the ground,6931
lägenhet,apartment,6928
försiktigt,gently,6925
stackars,Poor,6922
grejer,stuff,6921
mary,mary,6913
bilder,pictures,6908
kontroll,control,6893
dessutom,in addition,6883
underbar,Wonderful,6882
läser,reading,6870
telefonen,the phone,6869
utmärkt,excellent,6869
svarar,answers,6866
presidenten,the president,6852
uppskattar,appreciates,6851
extra,extra,6848
gilla,like,6837
n,n,6823
skadad,injured,6812
tanke,thought,6806
bygga,build,6803
dött,dead,6803
planen,the plan,6799
lämnat,left,6790
bestämmer,decides,6779
partner,partner,6743
sorts,sort of,6742
sådan,such,6732
gode,good,6732
doktor,Doctor,6732
liksom,as well as,6718
flyga,fly,6702
utom,except,6687
sällskap,company,6682
läste,read,6671
verkade,seemed,6665
förresten,by the way,6655
tusen,thousand,6654
minst,least,6653
london,London,6652
unge,young,6649
rena,clean,6634
tal,speech,6602
olycka,accident,6599
stack,stack,6598
platsen,the place,6596
danny,danny,6589
festen,the party,6586
inser,realizes,6575
kunnat,could,6573
skitsnack,bullshit,6560
offer,victims,6559
skepp,Ship,6553
lyckades,succeeded,6549
glömmer,forgets,6534
krävs,is required,6525
halv,half,6515
låna,borrow,6497
framåt,Forward,6493
grabbar,guys,6488
tillstånd,condition,6482
van,used to,6467
öga,eye,6460
respekt,respect,6459
lista,list,6445
vapnet,the weapon,6426
ren,clean,6417
hopp,hope,6405
nervös,nervous,6394
skapa,create,6393
richard,richard,6391
kyrkan,the church,6380
leka,play,6361
prova,try,6353
följde,followed,6353
överste,colonel,6349
team,team,6342
folket,the people,6341
ställ,rack,6320
historien,history,6315
varken,neither,6285
öppnar,opens,6278
billy,billy,6274
bredvid,next,6269
jake,Jake,6266
martin,martin,6266
jul,Christmas,6262
bodde,lived,6261
tecken,sign,6257
genast,immediately,6246
förstod,understood,6243
äldre,older,6239
försvinner,disappears,6233
gravid,pregnant,6224
insåg,realized,6221
makt,Power,6213
räkna,count,6210
skäl,reason,6201
skeppet,the ship,6198
hemlighet,secret,6190
behålla,retain,6184
passa,fit,6178
mördaren,the killer,6174
båten,the boat,6174
sade,said,6171
framtid,future,6167
lag,law,6166
oavsett,regardless,6132
talade,spoke,6130
killarna,the guys,6128
kräver,requires,6127
varann,each other,6119
värd,host,6119
ryggen,the back,6117
massor,plenty,6112
jämt,even,6108
säng,BED,6093
kraft,force,6090
bjuda,invite,6086
väljer,chooses,6083
föll,fell,6079
avsluta,end,6079
havet,the sea,6077
innebär,implies,6066
bära,wear,6051
ej,not,6044
chris,chris,6044
stilla,still,6042
tjäna,serve,6041
beror,depends,6001
tråkigt,boring,5994
kostar,costs,5986
himlen,the sky,5982
förmodligen,probably,5979
viktig,important,5973
maten,the food,5954
högre,higher,5950
te,tea,5948
solen,the sun,5942
clark,clark,5937
hjälte,hero,5933
lyckas,succeed,5932
antingen,either,5931
besök,visit,5930
djupt,deep,5920
vit,White,5915
överraskning,surprise,5911
förstör,destroy,5910
vågar,dares,5902
bit,bit,5899
hamnar,ends up,5883
tankar,thoughts,5880
upprörd,upset,5877
grupp,group,5872
lik,like,5864
vanliga,usual,5855
morgonen,the morning,5843
thomas,Thomas,5838
engelska,English,5831
nyckeln,the key,5827
förstås,of course,5822
ansvar,responsibility,5820
band,band,5819
vin,wine,5817
ljuga,lie,5811
meningen,the meaning,5806
slappna,relax,5805
bröt,broke,5797
överleva,survive,5796
ordet,the word,5792
ar,are,5790
företag,business,5789
beredd,prepared,5779
mordet,the murder,5778
jäveln,the bastard,5765
missade,missed,5753
flyttar,moving,5752
steve,steve,5750
fånga,catch,5743
ms,etc,5732
pistolen,the gun,5728
röda,red,5724
endast,only,5712
lova,promise,5712
per,per,5712
johnny,johnny,5706
sprang,ran,5699
blå,blue,5695
taget,taken,5693
fatta,take,5687
flyttade,moved,5687
normalt,normally,5671
tackar,thanks,5664
baby,baby,5659
ärlig,honest,5644
anna,another,5643
laga,prepare,5638
kontoret,the office,5637
daniel,Daniel,5635
ålder,age,5634
kungen,the king,5629
skämtar,joking,5627
bjuder,invites,5626
vänd,turn,5616
luften,the air,5608
frukost,breakfast,5601
jane,jane,5599
planer,plans,5597
knulla,fuck,5597
monster,monster,5594
tolv,Twelve,5592
leda,lead,5585
hälften,half,5578
poäng,point,5574
starta,start,5571
gömma,hide,5565
galet,crazy,5559
hjärna,brain,5550
varmt,warm,5540
målet,the target,5540
stänga,close,5527
golvet,the floor,5515
ljuset,the light,5512
bordet,the table,5508
ära,honor,5508
dar,there,5504
helvetet,hell,5473
ledare,leader,5461
galna,crazy,5456
smärta,pain,5451
minnas,Remember,5449
nöjd,satisfied,5441
rent,purely,5440
lagt,laid,5437
nåd,Grace,5437
hejsan,Hello,5434
eddie,eddie,5429
backa,back,5429
ät,eat,5424
kändes,felt,5423
springa,run,5422
tjänar,serves,5422
skrivit,written,5421
spännande,exciting,5417
tanken,the thought,5407
gratis,free,5406
wow,wow,5402
definitivt,definitely,5399
bobby,bobby,5399
båt,Boat,5396
träffades,were met,5388
föddes,was born,5388
papper,paper,5385
ordning,order,5381
kämpa,fight,5381
lagen,the law,5375
skillnad,difference,5373
sjukhus,hospital,5373
bryta,break,5373
samtidigt,at the same time,5372
åren,the years,5371
droger,drugs,5368
will,will,5367
scott,Scott,5359
titt,look,5351
använd,used,5344
sköta,take care of,5339
ihjäl,to death,5333
vägrar,refuses,5332
ske,be done,5331
ungar,kids,5331
bilden,the image,5327
farfar,grandfather,5322
ärligt,honestly,5320
fängelset,the prison,5305
mördade,murdered,5305
letade,searched,5303
faller,falls,5300
flyger,flying,5294
tappade,dropped,5290
mormor,grandmother,5290
sjunga,sing,5282
hemsk,terrible,5272
suger,sucks,5268
sekund,second,5264
dök,dived,5260
soldater,troops,5259
öppen,open,5251
sköter,cares,5250
öde,Fate,5227
regler,rules,5226
pris,price,5223
skriv,write,5222
översättning,translation,5208
kusin,cousin,5207
betalt,paid,5205
jävligt,damn,5201
förklarar,explains,5198
snällt,kindly,5197
speciell,special,5189
delen,the part,5186
amerikanska,American,5182
knappast,hardly,5173
människorna,the people,5170
